cn_name,en_name,stype,genbank,desc,envir,liter,discuss,sample,other
爱琴海微孢衣,"Acarospora aeginaica H. Magn., Göteborgs Kungl. Vetensk. Samhälles Handl., Ser. B, Math. Naturvensk. Skr. 6 (17): 19 (1956).Type: GREECE: Poelt no. 202 in M. (M. 0024888, isotype).","GREECE: Poelt no. 202 in M. (M. 0024888, isotype).",ITS-MK614807、ITS-MK614808,地衣体：鳞片状，鳞片直径1～2 mm，聚生或靠生；上表面：淡灰褐色，表面粗糙，无光泽，具粉霜层；上皮层：假薄壁组织；藻层：均匀，厚达100 µm；子囊盘：埋生，盘面黑色或灰黑色，具粉霜或无；子实上层：深褐色，厚7～20 µm；子实层：无色，厚50～90 µm；囊层基：厚20～35 µm；侧丝：顶端膨大，褐色；子囊：长棒状，内含超过100个孢子；子囊孢子：孢子圆形至椭圆形，无色单胞，直径 2.5～4 × 1.5～3 µm；分生孢子器：未见。地衣特征化合物：均负反应。,寄生于Aspicilia地衣体上表面；海拔600～3000 m。,新疆、内蒙古、甘肃（阿不都拉·阿巴斯&拉扎提·努尔太，2018）；希腊（Magnusson，1956）。,该种与糙伏毛微孢衣上表面都具粉霜层，但后者生于岩石表面，非寄生种。,甘肃省，张掖市，王立松 等 18-59665。,无信息
金黄树发,"Alectoria ochroleuca (Hoffm.) Mass., Sched. Crit. Lich. Ital.: 47. 1855. ≡ Usnea ochroleuca Hoffm., Descr. Adunbr. Pl. Lich. 2(1): 7. 1791.","Argentina, Roivainen, in H (lectotype?号).",未做分子！,"地衣体：枝状，灌木状直立丛生、匍匐型至亚垂悬型，高5～8 cm；主枝圆柱状，直径1～2 mm，分枝呈二叉至不规则分枝；表面：主枝基部至中部枯草黄色，分枝顶端深褐色至黑色，光滑，无粉芽、裂芽和珊瑚芽，具明显凸起的白色斑点状假杯点；假杯点：椭圆形至不规则形，直径超过1 mm；髓层：髓层菌丝疏松，菌丝表面具疣突；子囊盘：未见；地衣特征化合物：皮层 K-, P-, C-, KC+ 黄色，髓层 K-, P-, C-, KC+ 黄色，CK+ 金黄色，含usnic, diffractaic and alectoronic acids。",高山草甸、高山灌丛及流石滩，常见于粉紫杜鹃和刺柏属灌木枝；海拔4000～5000 m。,内蒙古、黑龙江、云南和西藏（魏江春，1991）；尼泊尔、印度、日本、韩国、北美、加拿大、新西兰和欧洲（王欣宇，2014）。,该种枝状地衣体表面黄绿色，近顶端黑色，具明显凸起的白色假杯点，髓层菌丝表面具疣突，以及含有松萝酸易于区别。,云南（Yunnan），德钦县，王立松 等09-31079，12-34836，13-39579，15-49667，07-27867；西藏（Xizang），亚东县，臧穆44。,无信息
硬膜斑叶,"Cetrelia monachorum (Zahlbr.) W. Culb. & C.Culb.Syst. Bot. 1(4):326, 1976; Chen, Acta Mycol. Sin. Supplement 1:390, 1986.≡ Parmelia monachorum Zahlbr. in Handel-Mazzetti, Symb. Sin. 3:191, 1930.","CHINA,Sichuan, near Muli,alt.4350 m, 4/VIII/1915, Handle-Mazzetti no.7399.",无信息,生于海拔2000 ～ 4300 m湿润环境，树干、腐木表面，伴生种。分布于辽宁、吉林、黑龙江、湖北、重庆、四川、云南、西藏、陕西、台湾，美洲、亚洲、欧洲。,无信息,无信息,无信息,云南，香格里拉县，王立松等20-69262；丽江县，王立松等22-73594。,无信息
裸斑叶,"Cetrelia nuda (Hue) W.L. Culb. & C.F. Culb., Contr. U.S. natnl. Herb. 34: 513 (1968)≡ Platysma collatum f. nudum Hue, Nouv. Arch. Mus. Hist. Nat., Paris, 4 sér. 1: 208 (1899)",无信息,无信息,地衣体：大型叶状，直径16 ～ 24 cm，疏松附着于基物上；裂片：宽0.6 ～ 1.8 cm，裂片通常相互紧密连接或重叠，边缘强烈波状起伏，顶端钝圆形或锯齿状，上翘，边缘无缘毛，无粉芽，无裂芽；上表面：淡灰色至烟灰色，平滑，散生有白色假杯点，假杯点较大，有时聚生，直径超过1 mm；下表面：中央黑色，假根稀疏，单一，黑色，边缘裸露，灰白色，有时具有皱褶；子囊盘：众多，直径1.0 ～ 1.5 cm，盘面暗褐色，凹陷杯状，中央具穿孔；地衣特征化合物：皮层K +黄色；髓层K -，C -，P -，KC + 粉色，含atranorin，α-collatolic acid和alectoronic acid。,生于高海拔地区树干或岩石表面；海拔2600 ～ 3700 m。,无信息,该物种在形态上很容易与其他几个不具有粉芽和裂芽的斑叶属物种混淆，它们之间主要通过化合物的不同进行区别，它与领斑叶（Cetrelia collata）区别主要在于后者含有imbricaric acid，与戴氏斑叶（C. delavayana）的区别在于后者主要含有perlatolic acid。,云南，丽江，王立松85-105；大理，王立松09-30343。,"分布：吉林，辽宁，四川，云南，台湾（Chen JB, 1986; Culberson & Culberson, 1968; Zahlbrucker, 1930）；日本（Culberson & Culberson, 1968）。"
橄榄斑叶,"Cetrelia olivetorum (Nyl.) W.L. Culb. & C.F. Culb., Contr. U.S. natnl. Herb. 34: 515 (1968)≡ Parmelia olivetorum Nyl., Not. Sällsk. Fauna et Fl. Fenn. Förh., Ny Ser. 8: 180 (1866)","SWITZERLAND, collector unknown, s.d. (H).",无信息,地衣体：叶状，小至中型，直径8 ～ 15 cm，不规则扩展，疏松附着于基物；裂片：相互紧密靠生，宽0.5 ～ 2 cm，裂腋近圆形，裂片顶端钝圆，波状起伏，通常上翘，边缘密生白色枕状粉芽堆，无缘毛；上表面：淡灰绿色至淡褐色，散生有细小的白色假杯点，假杯点圆形至不规则形，直径小于0.5 mm；下表面：中央黑色，有假根，假根单一，黑色，边缘裸露，呈栗褐色，具光泽；子囊盘：未见；地衣特征化合物：皮层K + 黄色；髓层K -，C + 红色，P -，KC+ 红色，含atranorin和olivetoric acid。,生于树干、腐木或岩石表面；海拔2000 ～ 3600 m。,无信息,该物种的主要特征在于裂片边缘密集生有颗粒状的粉芽，假杯点直径较小；常与粉缘斑叶（C. cetrarioides）混淆，但后者C-，含perlatolic acid而不同。,云南（Yunnan），香格里拉，王立松00-19928；丽江，王立松08-29736；四川（Sichuan），九龙，王立松07-29172。,无信息
拟橄榄斑叶,"Cetrelia pseudolivetorum (Asahina) W.L. Culb. & C.F. Culb., Contr. U.S. natnl. Herb. 34: 519 (1968)Type: JAPAN, Mt. Fuji, Asahina (TNS).","JAPAN, Mt. Fuji, Asahina (TNS).",无信息,地衣体：大型叶状，直径5 ～ 15 cm；裂片：深裂，宽0.8 ～ 1.5 cm，边缘部分通常波状起伏，顶端钝圆或锯齿状，略上翘或翻卷，边缘处无缘毛；上表面：绿褐色至黄褐色，干燥后呈暗黄褐色，密生白色的假杯点，假杯点直径0.4 ～ 0.5 cm，圆形至不规则形；裂芽：稠密珊瑚状，生于裂片上表面及边缘处，裂芽有时形成扁平的小裂片；下表面：边缘白色，中央呈黑色至深褐色，多褶皱；假根：单一，黑色，稀少；髓层：白色；子囊盘：未见；地衣特征化合物：皮层K+ 黄色；髓层K-，C+粉红色，KC+ 粉红色，P-；含atranorin和olivetoric acid。,生于树干或岩面藓层；海拔2000 ～ 3000 m。,无信息,该物种的主要特征是上表面及边缘处生有珊瑚状的裂芽，并且髓层反应为C+粉红色（含olivetoric acid），它在外形上与粒芽斑叶（Cetrelia braunsiana）较为相似，但后者髓层反应为C-（含alectoronic acid）。,西藏，墨脱，王欣宇等18-61527；云南（Yunnan），香格里拉县，王立松 等 20-66290; 大理，王立松05-24693。,无信息
血红斑叶,"≡ Cetraria sanguinea Schaer., in Moritzi, Syst. Verz.: 129 (1846).",无信息,无信息,地衣体：大型叶状，直径8 ～ 18 cm，疏松附着于基物上；裂片：宽0.5 ～ 1.5 cm，裂片通常相互紧密连接或重叠，边缘通常为波状起伏，顶端钝圆形或锯齿状，略上翘，边缘无缘毛，无粉芽，无裂芽；上表面：灰绿色至淡褐色，平滑，散生有白色假杯点，假杯点稀疏，较小，直径不超过0.5 mm；下表面：中央黑色，假根稀疏，假根单一，黑色，边缘裸露，淡褐色，有明显皱褶，具光泽；子囊盘：众多，直径0.2 ～ 1.5 cm，盘面暗褐色，凹陷杯状，中央具穿孔，边缘呈撕裂状；地衣特征化合物：皮层K +黄色；髓层K -，C + 血红色，P -，KC+红色，含atranorin和anziaic acid。,生于树干或岩石表面，海拔2000 ～ 3900 m。,无信息,该物种的识别特征在于上表面不具有粉芽裂芽，假杯点较小，并且髓层反应为C + 血红色（含anziaic acid），它与几个无粉芽和裂芽的物种较容易混淆，但可通过髓层反应进行区别（髓层反应均为C-），领斑叶（Cetrelia collata）主要含有imbricaric acid，戴氏斑叶（C. delavayana）主要含有perlatolic acid。,西藏，墨脱，王欣宇等18-61308；四川，米易，王立松83-862。,无信息
中华斑叶 无对应标本,"Cetrelia sinensis W.L. Culb. & C.F. Culb., Contr. U.S. natnl. Herb. 34: 523 (1968).Type: CHINA, Yunnan, Delavay 30 (PC).","CHINA, Yunnan, Delavay 30 (PC).",无信息,无信息,无信息,无信息,无信息,无信息,无信息
麸屑口果粉衣,"≡ Mucor furfuraceus L., Sp. pl. 2: 1185 (1753)",无信息,无信息,地衣体：表面颗粒状至粉末状，无皮层，通常较薄，亮黄绿色，偶尔内生，边缘处呈斑块状，由疏松的菌丝和丝状的藻细胞构成，质地柔软；前地衣体：有时较为明显，由疏松的白色菌丝构成；共生藻：丝藻属（Stichococcus sp.），藻细胞呈短链状，具横隔，宽度小于13 mm；子囊盘：1.6 ～ 2.7 mm高，聚生或散生，细长型，表面覆盖有黄绿色的粉霜，顶端圆球型，直径0.1 ～ 0.2 mm上部通常覆盖有分枝状的菌丝，5 ～ 20 µm长，下部有时无粉霜，黑色，；孢粉团（mazaedium）：硫磺色至草黄色；地衣特征化合物：皮层和髓层均为负反应，含有vulpinic acid，pulvinic acid以及pulvinic acid dilactone。,生于林下阴湿土表或树根，腐木表面，偶尔生于苔藓或岩石表面，海拔1500 ～ 3000 m。,无信息,该物种的特征在于具有粉末状，黄绿色的地衣体，子囊盘为圆球形，具有细长的柄，并且子囊盘表面覆盖有黄绿色的粉霜。当该物种的子囊盘未发育的时候，形态上与金絮衣（Chrysothrix chlorina）十分相似，但二者的藻细胞不同，金絮衣的共生藻为绿球藻。,云南，丙中洛，王欣宇等XY19-76；丽江，王立松等06-26506。,无信息
赭白野粮衣,"≡ Lecanora ochraceoalba H. Magn., (1940)≡ Aspicilia ochraceoalba (H. Magn.) N.S. Golubk., Nov. sist. Niz. Rast. 9: 240 (1972).","CHINA, Gansu, Taben buluk, Birger Bohlin, #30 a (S).",无信息,地衣体：壳状， 赭白色至浅象牙色， 厚0.75 ～ 2mm，表面近细粉状或粗糙，边缘裂片宽0.75 ～ 1.5 mm，中央部分的小网块不规则形，微凸至显著凸起，无前地衣体；皮层：厚37.5 ～ 50 μm，具晶体，藻细胞成层连续分布；子囊盘：常见，圆形至不规则形，常多个生于同一小网块上，直径1 ～ 1.5 mm，盘面浅黑色，凹陷，被粉霜，直径0.5 ～ 1 mm；果托缘部不明显，与地衣体同色；子囊：含4 ～ 6 个孢子，子囊孢子近球形，25 ～ 32.5 × 15～25 μm；地衣特征化合物：地衣体K + 黄色，C–，PD ＋ 橘黄色，含substictic acid和stictic acid。,半干旱区的钙质岩石或硅质岩石表面，海拔2000 ～ 3800 m。,无信息,赭白野粮衣的主要特征为地衣体较厚，表面亚粉状，含substictic acid 和stictic acid，子囊孢子较大等特征区别于该属其他种。该物种与沙氏野粮衣（Circinaria schafeevii）在形态上较为相似，但后者地衣体边缘为辐射状，并且其所含的主要成分为lecanoric acid。,甘肃，张掖，王立松等18-58745。,无信息
